,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10393,7956643,Authentic Brooklyn - Near Prospect Park,3251778,Megan,Brooklyn,Crown Heights,40.67323,-73.9619,Entire home/apt,125,2,4,2016-10-16,0.09,1,0
10394,7957339,Luxury Waterfront Building 1Bd/1Bth,32088026,Robert,Brooklyn,Sheepshead Bay,40.58479,-73.9388,Entire home/apt,109,1,0,2011-03-28,0.0,1,0
10395,7962707,SPACIOUS APT CLOSE TO MANHATTAN!!,42008401,Adam,Queens,Long Island City,40.75403,-73.91814,Entire home/apt,140,1,9,2016-04-19,0.19,1,0
10396,7965847,Modern Room Near Express Train to Manhattan,2762022,Skye,Brooklyn,Bedford-Stuyvesant,40.69398,-73.9338,Private room,48,4,22,2018-12-17,0.47,1,0
10397,7966153,Spacious 2 BR for Weekend Rental,42030960,Michael,Brooklyn,Bay Ridge,40.63519,-74.02634,Entire home/apt,135,1,0,2011-03-28,0.0,1,0
10399,7966447,SOHO NYC SEPT ROOM AVAILABLE!!,42034713,Olivia,Manhattan,SoHo,40.72251,-73.99957,Private room,50,1,0,2011-03-28,0.0,1,0
10401,7967503,Perfect midtown west studio,2781031,Paolo,Manhattan,Hell's Kitchen,40.76885,-73.98631,Entire home/apt,165,3,68,2019-06-19,1.46,1,195
10402,7967829,Bright large bedroom in Bushwick,42043282,Arielle,Brooklyn,Bushwick,40.70335,-73.92891,Private room,70,2,1,2015-09-07,0.02,1,0
10403,7967922,Big Private Room in Ridgewood,4094837,Siebren,Queens,Ridgewood,40.71111,-73.91689,Private room,52,10,8,2019-03-10,0.17,1,36
10405,7968283,Large room & private bathroom,42045746,Owen,Brooklyn,Bushwick,40.68935,-73.9127,Private room,45,1,1,2015-10-06,0.02,1,0
10408,7970110,ASTORIA APARTMENT AVAILABLE,4831239,Mariand,Queens,Astoria,40.76583,-73.92878,Entire home/apt,75,1,0,2011-03-28,0.0,1,0
10409,7970450,Adorable Upper East Side Apartment,39651842,Samantha,Manhattan,Upper East Side,40.77285,-73.94715,Private room,110,1,0,2011-03-28,0.0,1,0
10411,7972210,Large room in Bushwick!,12720552,Julie,Brooklyn,Bushwick,40.70158,-73.92724,Private room,100,1,22,2019-06-22,0.48,5,324
10412,7972825,"Lovely, kitschy 1BR + Foldout Couch",42073103,Brent,Queens,Astoria,40.75535,-73.92609,Entire home/apt,100,2,4,2015-11-29,0.09,1,0
10413,7972839,Spacious apt. near Prospect Park,1287826,Alexander,Brooklyn,Prospect Heights,40.67603,-73.96941,Entire home/apt,135,4,2,2015-10-17,0.04,1,0
10415,7973730,Sunny Williamsburg apartment,5828974,Farah,Brooklyn,Williamsburg,40.71147,-73.95312,Entire home/apt,150,6,2,2017-07-12,0.04,1,0
10416,7973933,The Blue Room,42082221,Katherine,Manhattan,Washington Heights,40.83713,-73.94343,Private room,60,1,3,2016-07-20,0.07,1,0
10419,7979200,1 Bed Apt in ClintonHill Brownstone,12739246,Pete,Brooklyn,Bedford-Stuyvesant,40.68426,-73.95669,Entire home/apt,95,5,11,2016-09-03,0.23,1,0
10421,7979433,Comfortable 1B in hot-spot Queens,37801911,Marissa,Queens,Astoria,40.75959,-73.92439,Entire home/apt,100,1,2,2015-09-21,0.04,1,0
10422,7980191,1 Bedroom Apt in Midtown Manhattan,27331181,Telitha,Manhattan,Murray Hill,40.74763,-73.9733,Entire home/apt,250,2,26,2017-01-02,0.58,1,0
10423,7981341,Couch for the Night,42125531,Michelle,Manhattan,Chelsea,40.75091,-73.99414,Shared room,200,1,0,2011-03-28,0.0,1,0
10424,7982304,Brooklyn townhouse-2 floors..,27712561,Richard,Brooklyn,Gowanus,40.6834,-73.98549,Entire home/apt,150,3,0,2011-03-28,0.0,1,0
10425,7982720,"Spacious One Bedroom in PreWar Building, Ft Greene",41112084,Aria,Brooklyn,Clinton Hill,40.68817,-73.96852,Entire home/apt,145,3,3,2018-05-29,0.06,1,0
10426,7983640,Great Loft Steps From All Williamsburg Hotels,13037911,Erica,Brooklyn,Williamsburg,40.72124,-73.95847,Entire home/apt,250,1,54,2019-05-19,1.15,1,365
10427,7984555,Your Spacious Home Away From Home!,43671,Anna,Brooklyn,Carroll Gardens,40.68502,-73.99306,Entire home/apt,150,2,8,2018-06-09,0.17,1,196
10429,7985537,Cozy Apartment in BKLYN near Prospect Park!,15311573,Alicia And Zach,Brooklyn,Prospect-Lefferts Gardens,40.65798,-73.95985,Private room,83,3,14,2017-01-02,0.31,1,0
10432,7987212,Large Private Bedroom in Williamsburg,30487854,Ben,Brooklyn,Williamsburg,40.71067,-73.96005,Private room,68,5,14,2019-07-03,0.3,2,10
10433,7987306,Huge room in a cool neighbourhood,34149113,Jeremy,Brooklyn,Bushwick,40.70227,-73.92362,Private room,50,2,0,2011-03-28,0.0,1,0
10435,7988259,Private room with your own backyard,5555793,Lindsay,Brooklyn,Gowanus,40.67705,-73.99607,Private room,65,1,3,2015-10-26,0.06,2,0
10436,7988385,"Cozy, simple, uncluttered.",42160853,Jessica,Brooklyn,Bedford-Stuyvesant,40.68625,-73.93003,Private room,45,1,2,2015-08-28,0.04,1,0
10437,7988411,Heart of Greenwich Village!,276042,Kathleen,Manhattan,Greenwich Village,40.72913,-74.00074,Private room,75,1,32,2019-01-01,1.63,1,0
10438,7988491,"Cute, Peaceful - East Williamsburg",83834,Jill,Brooklyn,Williamsburg,40.71381,-73.93619,Entire home/apt,115,7,0,2011-03-28,0.0,1,0
10440,7995140,Loft with garden  - Williamsburg,3318161,Etienne,Brooklyn,Williamsburg,40.71212,-73.95888,Entire home/apt,170,3,36,2019-05-27,0.77,1,1
10442,7998385,Spectacular Manhattan Skyline View,975656,Jennifer,Brooklyn,Crown Heights,40.66783,-73.93042,Entire home/apt,100,5,11,2017-07-28,0.24,1,0
10443,7999409,Amazing Riverside Park Studio,9835167,Abby,Manhattan,Upper West Side,40.78129,-73.98572,Shared room,65,2,7,2015-10-22,0.15,2,0
10444,7999574,Beautiful 3bdrm Apt w/ 2 Entrances!,30529,Marianne,Brooklyn,Prospect Heights,40.67354,-73.96359,Entire home/apt,280,2,24,2019-04-18,0.52,2,151
10445,7999671,Cozy 1 bdrm with balcony,40536602,Rachel,Brooklyn,Midwood,40.62022,-73.95622,Entire home/apt,65,7,0,2011-03-28,0.0,1,0
10446,8000640,1 bedroom APT with private garden,42233780,Nicole,Brooklyn,Clinton Hill,40.69485,-73.96254,Entire home/apt,150,2,9,2017-05-19,0.2,1,0
10447,8000716,luxury 1 bedroom apartment  midtown Manhattan,3348610,Ronnie,Manhattan,Chelsea,40.75014,-73.99069,Entire home/apt,250,6,17,2019-06-16,0.37,1,0
10450,8005645,BEST DEAL – 1BR APT – 15 MIN from MANHATTAN!,11360525,James,Queens,Sunnyside,40.74667,-73.92361,Entire home/apt,130,5,4,2019-01-03,0.09,1,0
10452,8009332,My cozy artistic Apartment,37849636,Maggie,Brooklyn,Sheepshead Bay,40.60991,-73.95677,Shared room,48,1,59,2019-07-05,1.26,1,90
10453,8009966,Sunny 1-bedroom in south Brooklyn,3491228,Courtney,Brooklyn,Sunset Park,40.6529,-74.00399,Entire home/apt,80,10,2,2017-12-07,0.04,1,0
10455,8011605,"Sunny, Clean, Safe, Zen!",42295490,C-S,Manhattan,Chinatown,40.71608,-73.99425,Private room,72,4,12,2019-05-11,0.25,2,0
10456,8012041,Bedroom by the River,16762482,Tessa Marie,Brooklyn,Greenpoint,40.73219,-73.95776,Private room,49,1,16,2016-01-14,0.34,1,0
10457,8012334,2 BR/2BA Near Lincoln Center/Central Park/Trains,21267483,Monica,Manhattan,Upper West Side,40.77569,-73.98028,Entire home/apt,250,1,3,2016-11-26,0.07,1,0
10459,8013358,Bedford-Stuyvesant 3 bedroom 2 bathroom duplex,8687068,Terrie,Brooklyn,Bedford-Stuyvesant,40.68318,-73.95002,Entire home/apt,240,1,33,2019-06-24,2.96,1,83
10461,8013780,Cute East Village Room for 1,24496111,Tessa,Manhattan,Gramercy,40.7331,-73.984,Private room,65,11,0,2011-03-28,0.0,1,0
10462,8013947,ICONIC STUDIO MIDTOWN 5TH AVENUE!,29338009,Guilherme,Manhattan,Midtown,40.74921,-73.98445,Entire home/apt,185,7,17,2018-03-31,0.36,1,0
10463,8014087,Prime location Chelsea/Flatiron RM,38857566,Gabi,Manhattan,Chelsea,40.74042,-73.99714,Private room,100,1,2,2018-01-01,0.04,1,0
10464,8014298,BEST QUICK STAY CROWN HEIGHTS BKLYN,42315851,Matthew,Brooklyn,Crown Heights,40.66827,-73.93255,Private room,50,1,1,2015-09-06,0.02,1,0
10465,8014315,Cozy Victorian Hideaway in Bushwick,259826,Cass,Brooklyn,Bushwick,40.69312,-73.9236,Private room,50,1,1,2015-10-08,0.02,1,0
10467,8014811,1 bedroom/1 Bath/Balcony/Wash-Dryer,42320409,Timothy,Brooklyn,Williamsburg,40.7076,-73.94072,Entire home/apt,87,1,3,2015-10-24,0.07,1,0
10468,8015917,Room in Brownstone Apartment,12474780,Mike,Brooklyn,Park Slope,40.66948,-73.97797,Private room,30,1,6,2016-08-01,0.14,1,0
10469,8016681,Cozy private room up in the Heights,21787440,Yi-Chen,Manhattan,Washington Heights,40.84074,-73.93544,Private room,65,1,11,2016-04-23,0.24,2,0
10471,8017587,Lovely 1BR West Village Apartment,10779300,Marlow,Manhattan,West Village,40.7383,-74.00602,Entire home/apt,150,4,0,2011-03-28,0.0,1,0
10472,8021914,Manhattan Studio with Huge Garden!,39921605,Rachel,Manhattan,Upper West Side,40.80189,-73.96962,Private room,152,1,39,2016-12-30,0.83,5,157
10473,8024051,Spacious 2BD near Prospect Park!,312080,Gwen,Brooklyn,Prospect Heights,40.67427,-73.96511,Entire home/apt,150,3,28,2019-05-15,0.6,1,168
10474,8025808,Mid-Century Modern Oasis in the LES,40082650,Momo,Manhattan,Chinatown,40.71555,-73.99298,Entire home/apt,300,3,30,2019-05-21,0.66,1,87
10477,8030123,Private rm in Prime Boerum Hill 2BR,22221590,Danny,Brooklyn,Downtown Brooklyn,40.68973,-73.98563,Private room,70,10,1,2015-09-08,0.02,2,0
10478,8031617,"Big Private, Sunny, and Quiet Room",28185540,Ayse,Brooklyn,Williamsburg,40.7083,-73.95473,Private room,60,1,4,2016-05-28,0.1,1,0
10479,8032689,Charming Studio in Prospect Heights,2073942,Miriam,Brooklyn,Prospect Heights,40.67874,-73.96842,Entire home/apt,150,1,1,2015-09-24,0.02,1,0
10481,8033860,Spacious 1 Bedroom Apartment,42418809,Mallory,Manhattan,Washington Heights,40.85563,-73.93509,Entire home/apt,74,1,3,2015-11-01,0.07,1,0
10482,8034514,Sunny & Spacious Apartment in LES,1346505,Jovan & Zaga,Manhattan,Lower East Side,40.72045,-73.99016,Entire home/apt,250,3,4,2016-02-13,0.09,1,0
10483,8034665,Cozy & Comfortable Bedroom,42237225,Orlando,Manhattan,Harlem,40.80083,-73.95584,Private room,250,1,22,2017-01-01,0.47,1,365
10484,8035074,Beautiful Brownstone near the Park,58546,Jason,Manhattan,Upper West Side,40.79791,-73.96951,Entire home/apt,130,3,4,2015-09-21,0.09,1,0
10485,8036524,Renting very clean bedroom,42436366,Sun,Manhattan,Murray Hill,40.7484,-73.97298,Private room,200,1,0,2011-03-28,0.0,1,0
10486,8040050,Spacious Manhattan studio w patio!,39921605,Rachel,Manhattan,Upper West Side,40.80377,-73.96903,Private room,163,1,30,2017-01-04,0.64,5,188
10487,8042732,Beautiful One Bedroom Apartment,1229609,Glenn,Brooklyn,Bedford-Stuyvesant,40.68581,-73.95218,Entire home/apt,125,3,2,2016-09-28,0.06,1,0
10488,8043824,Spacious Williamsburg apartment,183594,Hannah,Brooklyn,Williamsburg,40.71693,-73.94477,Entire home/apt,149,1,7,2016-08-15,0.15,1,0
10489,8044856,Williamsburg/Billburg/The Burg,42404417,Erin,Brooklyn,Williamsburg,40.71848,-73.95834,Entire home/apt,135,4,54,2019-06-22,1.17,1,158
10492,8047711,"Clean, Modern, Minimal Bedroom",23027887,John,Brooklyn,Greenpoint,40.72569,-73.95179,Private room,55,4,2,2015-12-30,0.04,1,0
10494,8052159,"Great Studio- East Village, NYC",42524168,Peter,Manhattan,East Village,40.72351,-73.98288,Entire home/apt,110,4,6,2016-06-06,0.13,1,0
10495,8052243,Modern 1BR Apt in Williamsburg,16396888,Emily,Brooklyn,Williamsburg,40.71062,-73.95274,Entire home/apt,250,1,3,2015-09-25,0.06,1,0
10496,8052841,"Bright, spacious, midtown studio",39084892,Devon,Manhattan,Midtown,40.75512,-73.96826,Entire home/apt,150,4,15,2017-01-03,0.32,1,0
10497,8053024,Modern apt with exposed brick,3367355,Jane,Manhattan,Upper East Side,40.78451,-73.94939,Entire home/apt,150,1,0,2011-03-28,0.0,1,0
10498,8053664,Bare Bones Backyard Bungalow,1112829,Erin,Brooklyn,Bushwick,40.70011,-73.92119,Private room,40,5,1,2015-09-18,0.02,1,0
10499,8054277,Modern Condo in Heart of Harlem,42535703,Fma,Manhattan,Harlem,40.80025,-73.95519,Entire home/apt,295,3,32,2017-05-09,0.7,2,0
10500,8054523,1BR in Prime spot Cozy Stylish Williamsburg Apt,965061,Roman,Brooklyn,Williamsburg,40.71278,-73.96471,Private room,130,3,7,2018-05-18,0.15,1,278
10504,8055598,"SPACIOUS APT, A/C, WIFI, SUBWAY!",2799733,Vinny,Manhattan,Washington Heights,40.85296,-73.93527,Entire home/apt,147,7,27,2019-07-04,0.78,1,294
10507,8055859,Private Bedroom and Bath in Spacious Duplex,14019268,Seth,Brooklyn,Bushwick,40.69702,-73.93167,Private room,70,2,67,2019-06-29,1.45,2,353
10512,8063565,Light-filled Brooklyn duplex loft,5072735,Rory,Brooklyn,Clinton Hill,40.6854,-73.96741,Entire home/apt,150,7,0,2011-03-28,0.0,1,0
10513,8065272,Bright & quiet West Village studio,2928867,Irene,Manhattan,West Village,40.7354,-74.00861,Entire home/apt,179,2,10,2019-01-01,0.22,1,0
10514,8065705,Large Room Next to Central Park,42601948,Tyson,Manhattan,Upper West Side,40.80115,-73.96043,Private room,60,1,0,2011-03-28,0.0,1,0
10515,8066385,Share A Rustic Forte Greene studio w/ adorable cat,4205261,Stephanie,Brooklyn,Clinton Hill,40.68667,-73.9676,Entire home/apt,104,2,15,2019-05-19,0.39,2,100
10516,8067561,Private room with queen size bed.,19510122,Frank,Brooklyn,Prospect-Lefferts Gardens,40.65603,-73.95798,Private room,40,2,9,2016-09-11,0.2,1,0
10517,8067738,Rm @Top Floor of a Luxury Building!,3958647,Yegor,Brooklyn,Bushwick,40.69955,-73.92225,Private room,90,3,0,2011-03-28,0.0,1,0
10518,8068089,Cozy One Bedroom-Lower East Side,7890158,Matthew,Manhattan,Lower East Side,40.71373,-73.98465,Entire home/apt,80,3,16,2018-11-05,0.34,1,1
10522,8069765,Brooklyn Jeff L Huge Room and yard!,42623155,Edward,Brooklyn,Bushwick,40.70343,-73.92538,Private room,75,10,1,2015-09-16,0.02,1,0
10524,8071607,Lovely duplex in Williamsburg,22470446,Louise,Brooklyn,Williamsburg,40.70803,-73.94868,Private room,45,3,2,2015-10-11,0.04,1,0
10527,8072744,One floor kitchen and living room,40085749,Garvin,Brooklyn,East Flatbush,40.63774,-73.93714,Private room,200,1,0,2011-03-28,0.0,1,0
10528,8075854,The Manhattan Studio,42660040,Henri,Manhattan,Midtown,40.75513,-73.96446,Entire home/apt,180,4,20,2019-07-02,1.46,1,13
10529,8077469,"Cozy room, great area, near train",42667448,Rachel,Brooklyn,Williamsburg,40.71982,-73.94409,Private room,46,7,2,2016-08-07,0.04,1,0
10533,8082651,"Private room in bright, clean home!",42691960,Marie,Manhattan,Harlem,40.80557,-73.94618,Private room,39,4,14,2018-01-01,0.3,2,0
10534,8083295,UES Studio Crash Pad,9489975,Zac,Manhattan,Upper East Side,40.7795,-73.94778,Entire home/apt,57,7,0,2011-03-28,0.0,1,0
10535,8083931,Private Bedroom In Refurbished Apt!,15585119,Ryan,Brooklyn,Bushwick,40.70111,-73.92935,Private room,65,1,1,2015-09-08,0.02,1,0
10537,8086028,Nicely furnished one bedroom apt,42701501,Ersellia,Brooklyn,Greenpoint,40.72218,-73.93894,Entire home/apt,140,4,18,2019-07-04,0.39,1,30
10538,8087274,"HUGE Master Suite + Private bath, up to 4 Guests!",1903737,Natalie,Brooklyn,Bushwick,40.69542,-73.93258,Private room,65,2,5,2018-11-18,0.11,3,4
10539,8087725,Beautiful Upper East 1 Bedroom,12483260,Chris,Manhattan,Upper East Side,40.77343,-73.95651,Entire home/apt,118,1,1,2015-08-31,0.02,1,0
10541,8089062,Cozy bed in Midtown,18655157,Phuong,Manhattan,Midtown,40.74475,-73.98512,Shared room,55,5,32,2019-06-22,0.69,3,0
10543,8090529,"Modern studio in Queens, NY",17377835,Alex,Queens,Sunnyside,40.74674,-73.91881,Entire home/apt,250,3,0,2011-03-28,0.0,1,364
10545,8100914,Beautiful Apt on the UpperWest,20739852,Jenn,Manhattan,Upper West Side,40.79494,-73.97221,Entire home/apt,168,1,2,2016-01-06,0.04,1,0
10546,8101258,Cozy Studio Apartment,39156453,Yessenia,Brooklyn,South Slope,40.66594,-73.98814,Entire home/apt,110,2,10,2016-06-19,0.22,1,0
10547,8101762,Spacious & sunny 1 bdrm w views,16420179,Natasha,Brooklyn,Columbia St,40.68274,-74.00433,Entire home/apt,125,2,2,2015-09-28,0.04,1,0
10548,8101848,"Charming, Exposed Brick 1 Bedroom",5489956,Megan,Brooklyn,Fort Greene,40.68886,-73.97687,Entire home/apt,125,3,3,2015-12-01,0.06,1,0
10549,8102145,Charming UWS Private Room,26163238,Nadalie,Manhattan,Upper West Side,40.78856,-73.97368,Private room,115,1,1,2017-06-04,0.04,1,0
10551,8104879,Here comes the sun!,1831760,Vishnu,Brooklyn,Gowanus,40.68334,-73.9847,Private room,64,7,1,2015-10-03,0.02,1,0
10552,8105749,Beautiful 1 bedroom in city center,23613165,Gia,Manhattan,Midtown,40.75932,-73.96396,Entire home/apt,140,2,2,2016-01-07,0.04,1,0
10554,8106902,Cosy clean modern apartment,202211,Pon,Manhattan,Gramercy,40.73284,-73.98511,Entire home/apt,160,2,1,2015-09-13,0.02,1,0
10555,8107212,Large Private Room in Williamsburg,19668001,Marie,Brooklyn,Williamsburg,40.71061,-73.94971,Private room,70,1,40,2018-10-01,0.87,1,125
10556,8108376,"home, sweet home :-)  English, русский,  עברית",42814202,Irisha,Queens,Fresh Meadows,40.74267,-73.78737,Entire home/apt,100,1,59,2019-06-09,1.58,3,132
10557,8110973,Spacious 1 bedroom in East Village,2035326,Katie,Manhattan,East Village,40.72873,-73.98399,Entire home/apt,225,2,2,2015-09-27,0.04,1,0
10558,8111321,Huge 1 BR entire apt,32441059,Cory,Queens,Astoria,40.768,-73.92429,Entire home/apt,70,2,13,2019-01-11,0.28,1,159
10559,8113156,Room in heart of Williamsburg,23075765,Amandine,Brooklyn,Williamsburg,40.7151,-73.96037,Private room,60,1,2,2015-11-29,0.04,1,0
10560,8114144,Sunny Duplex in Heart of Bushwick,9659956,Alexandra,Brooklyn,Bushwick,40.7027,-73.92811,Entire home/apt,120,1,2,2015-10-26,0.04,1,0
10561,8114639,Cozy Private Bedroom in heart of Williamsburg,19058116,Sarah,Brooklyn,Williamsburg,40.7105,-73.94693,Private room,50,1,3,2016-07-29,0.08,1,0
10568,8118692,Charming Studio by Bryant Park,37670256,Elaine,Manhattan,Midtown,40.75245,-73.98442,Entire home/apt,170,1,3,2016-04-20,0.07,1,0
10570,8123857,New / Priv Deck / Cntrl Park  (UES),10606799,Craig,Manhattan,Upper East Side,40.76777,-73.96393,Entire home/apt,299,7,0,2011-03-28,0.0,1,0
10571,8125640,Amazing Water View from Midtown Apt,8301365,Jacob,Manhattan,Murray Hill,40.74553,-73.97302,Private room,100,6,5,2019-05-21,0.14,1,25
10572,8126091,Spacious Quiet Room,42911814,Chris,Brooklyn,Williamsburg,40.70788,-73.9426,Private room,50,10,3,2019-04-17,0.09,1,0
10573,8126282,Quintessential West Village apartment,3228421,Ilton,Manhattan,West Village,40.73319,-74.00502,Entire home/apt,205,3,47,2019-06-23,1.01,1,262
10574,8126631,Cozy room harlem,16746108,April,Manhattan,Harlem,40.81993,-73.94704,Private room,45,2,0,2011-03-28,0.0,1,0
10575,8126777,Sunlit Oasis in WILLIAMSBURG BK (2 Bedrooms),41059169,Alex,Brooklyn,Williamsburg,40.7124,-73.96314,Entire home/apt,90,3,17,2019-07-01,0.36,3,77
10576,8130534,Lovely BR w/Access to Everything!,3692257,Tasia,Brooklyn,Kensington,40.64423,-73.98019,Private room,49,1,1,2015-11-05,0.02,2,0
10577,8130551,Clean and Spacious Room on the UWS,13164593,Majd,Manhattan,Upper West Side,40.80266,-73.96465,Private room,88,1,0,2011-03-28,0.0,1,0
10578,8131285,Modern one bed in Alphabet City,17478311,Stephen,Manhattan,East Village,40.72573,-73.97926,Entire home/apt,129,3,5,2018-06-28,0.11,1,0
10579,8131995,Studio with Million Dollar Views,42942193,John,Manhattan,Kips Bay,40.73845,-73.9795,Entire home/apt,165,3,2,2017-09-22,0.04,1,0
10580,8132082,Lovely 1br in Heart of Brooklyn,4983838,Rebecca,Brooklyn,Bedford-Stuyvesant,40.68499,-73.93918,Entire home/apt,103,7,14,2019-01-01,0.31,1,13
10582,8133707,Best Private Room in Times Sq!,42951928,Prashanth,Manhattan,Theater District,40.76205,-73.9845,Private room,49,1,8,2017-08-21,0.18,1,0
10583,8135144,Time Square! 2 Fully Furnished apt!,42959506,Vapee,Manhattan,Hell's Kitchen,40.76127,-73.99181,Entire home/apt,245,4,55,2019-06-21,1.29,1,261
10584,8135887,Private Room in Modern Apartment,27362570,Autumn,Queens,Ridgewood,40.70136,-73.89608,Private room,52,1,4,2015-10-24,0.09,1,0
10585,8139311,Modern Beauty in Brooklyn!,7849109,Victoria,Brooklyn,Bedford-Stuyvesant,40.68041,-73.92972,Entire home/apt,280,1,1,2015-10-12,0.02,1,0
10586,8141256,Beautiful Riverside Park Apartment,9835167,Abby,Manhattan,Upper West Side,40.78143,-73.98638,Entire home/apt,120,3,0,2011-03-28,0.0,2,0
10587,8141967,Bel appartement meublé de 75m2,33747092,Tom,Brooklyn,Bedford-Stuyvesant,40.6795,-73.90899,Private room,30,7,0,2011-03-28,0.0,1,0
10589,8143588,2 bedroom private apt - boerum hill,22221590,Danny,Brooklyn,Downtown Brooklyn,40.68967,-73.98664,Entire home/apt,150,3,0,2011-03-28,0.0,2,0
10590,8144049,Sunny Room In Historic Central Harlem,2126994,Andres,Manhattan,Harlem,40.80679,-73.94408,Private room,62,3,5,2018-06-01,0.11,1,0
10591,8144798,Lovely East Village Apartment,18223173,Kelly,Manhattan,East Village,40.72777,-73.98545,Entire home/apt,195,1,0,2011-03-28,0.0,1,0
10592,8145339,Chelsea 2-Bedroom Doorman Apt NEW,24430182,Carole,Manhattan,Chelsea,40.74318,-73.9982,Entire home/apt,129,1,6,2016-11-27,0.13,1,0
10593,8145441,Roomy Brooklyn Brownstone,7950356,Liz,Brooklyn,Park Slope,40.66766,-73.98257,Entire home/apt,175,2,10,2016-09-14,0.25,1,0
10594,8145603,"Spacious, Beautiful, Private Room",43007744,Ardis,Queens,Ditmars Steinway,40.77433,-73.91734,Private room,80,4,32,2019-06-21,0.72,1,303
10595,8146444,Sunny 1 bedroom in Brooklyn!,12796091,Rebeckah,Brooklyn,Crown Heights,40.67658,-73.95786,Entire home/apt,90,3,14,2017-01-02,0.3,1,0
10596,8146609,Large room in Williamsburg,8860559,James,Brooklyn,Williamsburg,40.70939,-73.95155,Private room,77,4,1,2015-09-13,0.02,1,0
10598,8151536,Sunny Room in Williamsburg Brooklyn,24982391,Maythem,Brooklyn,Williamsburg,40.71248,-73.96379,Private room,90,1,5,2015-10-19,0.11,1,0
10599,8151605,Amazing 2BR in Bed-Stuy,1740952,Kaila,Brooklyn,Bedford-Stuyvesant,40.68355,-73.94129,Entire home/apt,180,2,1,2015-09-26,0.02,1,0
10603,8152985,Private BR in 3 BR Apt,10134825,Kara,Manhattan,Lower East Side,40.7146,-73.98423,Private room,89,3,5,2016-01-02,0.11,4,0
10604,8153005,Sunny 2 BR apartment in E Village,19966390,John,Manhattan,East Village,40.72845,-73.97989,Entire home/apt,200,2,3,2015-10-12,0.06,1,0
10605,8153235,Large room in central SOHO,28888685,Shakeh,Manhattan,SoHo,40.72528,-74.00223,Private room,72,2,5,2016-09-30,0.11,1,0
10606,8153240,Cozy 3 Bedroom Apartment - LES,10134825,Kara,Manhattan,Lower East Side,40.71358,-73.98456,Entire home/apt,250,3,0,2011-03-28,0.0,4,0
10608,8160542,Private Balcony and views of WTC!,43075550,Leyla,Manhattan,Tribeca,40.72018,-74.00981,Private room,100,1,18,2019-06-22,0.38,1,31
10609,8161540,Artist's Room in Bushwick,11315661,Angel,Brooklyn,Bedford-Stuyvesant,40.68742,-73.92198,Private room,90,1,0,2011-03-28,0.0,1,0
10610,8162214,"Large Room, Full Bed, Trendy LES",41087164,Jordan,Manhattan,Lower East Side,40.71349,-73.98473,Private room,90,10,8,2016-03-04,0.17,1,0
10611,8162587,Studio in Midtown East (1 q+couch),43082153,Ema,Manhattan,Midtown,40.75249,-73.96866,Entire home/apt,120,4,3,2016-07-10,0.06,1,0
10613,8163660,Lower East Side Garden Apartment,6816235,Maggie,Manhattan,Lower East Side,40.71977,-73.98176,Private room,100,1,0,2011-03-28,0.0,1,0
10614,8164253,Huge Studio -East Vill/Alphbet City,43091823,Elizabeth,Manhattan,East Village,40.72362,-73.98519,Entire home/apt,120,5,0,2011-03-28,0.0,1,0
10616,8164877,Private Room 1 Stop From Manhattan,9862206,Devon,Brooklyn,Williamsburg,40.71697,-73.95919,Private room,70,1,19,2016-07-01,0.41,1,0
10617,8165315,1BR in Spacious 3Bed/3ba w/backyard,19990876,Sharan,Brooklyn,Bedford-Stuyvesant,40.68389,-73.95557,Private room,80,3,4,2016-06-23,0.09,1,0
10618,8166218,Spacious Parisian style apartment,2881763,Miguel,Manhattan,Chelsea,40.73921,-73.99717,Entire home/apt,220,2,3,2016-11-18,0.06,1,0
10619,8166737,1 bedroom Prospect-Lefferts Gardens,6101617,Joe,Brooklyn,Prospect-Lefferts Gardens,40.65845,-73.96131,Entire home/apt,89,4,3,2016-05-30,0.07,1,0
10620,8167145,Cherry Blossom Apartment,1510638,Alessandro,Queens,Astoria,40.75535,-73.91397,Entire home/apt,135,7,2,2015-10-02,0.04,1,157
10621,8167182,Central Park North 1 Bedroom Apt,19982835,Maria,Manhattan,Harlem,40.79965,-73.95446,Entire home/apt,150,2,13,2019-06-16,0.28,1,362
10624,8170072,179st Hub Room with balcony,20912691,Jeff,Queens,Jamaica,40.71036,-73.78261,Private room,50,2,24,2019-05-31,0.95,7,0
10625,8170276,Beautiful 2BR Apt in UES NYC,43119699,Shea,Manhattan,Upper East Side,40.78222,-73.94791,Entire home/apt,100,1,1,2015-09-09,0.02,1,0
10626,8170917,HK SWEET SPOT,41466973,Christopher,Manhattan,Hell's Kitchen,40.75849,-73.9907,Entire home/apt,200,2,1,2015-09-22,0.02,1,161
10627,8171965,Astoria Room Facing the Park,40336543,Simon,Queens,Long Island City,40.76211,-73.92894,Private room,100,1,1,2015-09-02,0.02,2,364
10628,8172864,Your Convenient Sanctuary 1br apt.,3692257,Tasia,Brooklyn,Kensington,40.64277,-73.97947,Entire home/apt,81,1,1,2015-09-06,0.02,2,0
10630,8173226,Small cosy room in Lower East Side,12485696,Julien,Manhattan,Chinatown,40.71343,-73.99532,Private room,60,2,3,2015-10-19,0.07,1,0
